ལས་ཀྱི་རྣམ་པར་འགྱུར་བ་ཞེས་བྱ་བའི་ཆོས་ཀྱི་གཞུང་། བམ་པོ་གཅིག་གོ། ། ||| The Dharma Scripture “Exposition of Karma” in one fascicle
ཡང་དག་པར་གཤེགས་པའི་མཆོད་རྟེན་ལ་མར་མེ་ཕུལ་ན་ལེགས་པ་བཅུ་ཐོབ་པར་འགྱུར་ཏེ། ||| “One will gain ten advantages from offering a lamp at a caitya of the Tathāgata.
བཅུ་གང་ཞེ་ན། ||| What are the ten?
འཇིག་རྟེན་གྱི་ནང་ན་མར་མེ་དང་འདྲ་བར་འགྱུར། ||| (1) One will become like a lamp for the world;
ཤའི་མིག་གཙང་བར་འགྱུར། ||| (2) one’s physical eyes will become purified and
འཕྲུལ་གྱི་མིག་ཐོབ་པར་འགྱུར། ||| (3) one will obtain the magical eye;
མི་ཤེས་པའི་མུན་པ་ནག་པོ་མེད་པར་འགྱུར། ||| (4) one will not be shrouded in the black darkness of ignorance;
ཤེས་རབ་ཀྱི་འོད་ཐོབ་པར་འགྱུར། ||| (5) one will obtain the light of knowledge;
དགེ་བ་དང་མི་དགེ་བའི་དོན་རྣམས་བྱེ་བྲག་ཕྱེད་པར་འགྱུར། ||| (6) one will be able to distinguish between virtuous and nonvirtuous objectives;
འཁོར་བ་ན་འཁོར་ཡང་མུན་པ་དང་མྱོས་པར་མི་འགྱུར། ||| (7) even when wandering in saṃsāra, one will not be intoxicated by its darkness;
སྤྱོད་པ་མང་པོར་འགྱུར། ||| (8) one will have abundant possessions;
མཐོ་རིས་སུ་སྐྱེ་བར་འགྱུར། ||| and (9) one will be reborn in heaven and
མྱུར་དུ་མྱ་ངན་ལས་འདས་པར་འགྱུར་རོ། ། ||| (10) quickly attain nirvāṇa.
ཡང་དག་པར་གཤེགས་པའི་མཆོད་རྟེན་ལ་སྤོས་ཕུལ་ན་ལེགས་པ་བཅུ་ཐོབ་པར་འགྱུར་ཏེ། ||| “One will gain ten advantages from offering incense at a caitya of the Tathāgata.
བཅུ་གང་ཞེ་ན། ||| What are the ten?
འཇིག་རྟེན་གྱི་ནང་ན་སྤོས་དང་འདྲ་བར་འགྱུར། ||| (1) One will become like a perfume for the world;
སྣའི་དབང་པོ་རྣོ་བར་འགྱུར། ||| (2) one’s sense of smell will become acute;
ལུས་དྲི་ཞིམ་པ་གཙང་མར་འགྱུར། ||| (3) the scent of one’s body will become purified and
རྟག་ཏུ་དྲི་ཞིམ་པར་འགྱུར། ||| (4) one will remain forever fragrant;
གཟུགས་བཟང་པོར་འགྱུར། ||| (5) one will have a beautiful body;
སེམས་ཅན་དགའ་ཞིང་འདུ་བར་འགྱུར། ||| (6) sentient beings will like and flock to one;
འཇིག་རྟེན་གྱི་ནང་ན་རྙེད་པར་འགྱུར། ||| (7) one will make a profit in the world;
དད་པའི་ཆོས་རྣམས་མང་དུ་འགྲུབ་པར་འགྱུར། ||| (8) one will obtain countless desired qualities;
མཐོ་རིས་སུ་སྐྱེ་བར་འགྱུར། ||| and (9) one will be reborn in heaven and
མྱུར་དུ་མྱ་ངན་ལས་འདས་པར་འགྱུར་རོ། ། ||| (10) quickly attain nirvāṇa.
ཡང་དག་པར་གཤེགས་པའི་མཆོད་རྟེན་ལ་རྔ་ཕུལ་ན་ལེགས་པ་བཅུ་ཐོབ་པར་འགྱུར་ཏེ། ||| “One will gain ten advantages from offering a drum at a caitya of the Tathāgata.
བཅུ་གང་ཞེ་ན། ||| What are the ten?
གཟུགས་བཟང་པོར་འགྱུར། ||| (1) One will have a beautiful body;
སྐད་སྙན་པར་འགྱུར། ||| (2) one will have a pleasing voice;
སྨྲས་པ་ཡིད་དུ་འོང་བར་འགྱུར། ||| (3) one’s speech will be pleasing;
སྐྱིད་པ་དང་ལྡན་པར་འགྱུར། ||| [891] (4) one will be endowed with happiness;
རྟག་ཏུ་དགའ་བར་འགྱུར། ||| (5) one will always be liked;
ཚིག་ཀུན་གྱིས་ཉན་པར་འགྱུར། ||| (6) all will listen to one’s words, and
ཕྱི་ཕྱིར་སྒྲ་སྐད་སྙན་པ་ཐོབ་པར་འགྱུར། ||| (7) eventually one will obtain a renowned voice;
སྤྱོད་པ་མང་པོར་འགྱུར། ||| (8) one will have abundant possessions;
མཐོ་རིས་སུ་སྐྱེ་བར་འགྱུར། ||| and (9) one will be reborn in heaven and
མྱུར་དུ་མྱ་ངན་ལས་འདས་པར་འགྱུར་རོ། ། ||| (10) quickly attain nirvāṇa.
ཡང་དག་པར་གཤེགས་པའི་མཆོད་རྟེན་བརྩིགས་ན་ལེགས་པ་བཅུ་ཐོབ་པར་འགྱུར་ཏེ། ||| “One will gain ten advantages by building a caitya of the Tathāgata.
བཅུ་གང་ཞེ་ན། ||| What are the ten?
རིགས་ཆེན་པོར་འགྱུར། ||| (1) One will be born into a noble family;
གཟུགས་དང་མིག་བཟང་ཞིང་སྡུག་པར་འགྱུར། ||| (2) one’s body and one’s eyes will be beautiful and attractive;
དབང་ཆེ་ཞིང་འཁོར་མང་ལ་འཁོར་སྙིང་ཉེ་བར་འགྱུར། ||| (3) because one will be a person of influence, one will have a large retinue and its members will be cordial with one another;
སྤྱོད་པ་མང་པོར་འགྱུར། ||| (4) one will have abundant possessions;
ཀུན་འདུམ་པའི་གནས་སུ་འགྱུར། ||| (5) one will become a unifying presence for all;
ཚིགས་སུ་བཅད་པ་དང་། བསྟོད་ཅིང་བསྐྱེད་པས་ཕྱོགས་བཅུར་ཆེར་གྲགས་ཤིང་ལྷ་དང་མི་རྣམས་ཀྱིས་མཆོད་པར་འགྱུར། ||| (6) because renown and a good reputation are constantly being generated about oneself, one will attain great fame everywhere and receive reverence from devas and humans alike;
ཕྱི་ཕྱིར་ནོར་མང་ཞིང་འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོར་འགྱུར། ||| (7) eventually, one will have abundant wealth and (8) become a universal monarch;
བྱང་ཆུབ་སེམས་དཔའ་རྡོ་རྗེ་སྙིང་པོའི་ལུས་སུ་འགྱུར། ||| (9) one will acquire the body of a bodhisattva whose essence is [indestructible] like a diamond; and
མྱུར་དུ་མྱ་ངན་ལས་འདས་པར་འགྱུར་རོ། ། ||| (10) one will quickly attain nirvāṇa.
སྟན་གྱི་སྦྱིན་པ་གཏོང་བ་བྱས་ན་ལེགས་པ་བཅུ་ཐོབ་པར་འགྱུར་ཏེ། ||| “One gains ten advantages by making the generous offering of a seat.
བཅུ་གང་ཞེ་ན། ||| What are the ten?
འཇིག་རྟེན་གྱི་ནང་ན་བླ་མར་འགྱུར། ||| (1) One will [attain a] high [rank] in the world;
བཟང་པོར་སྣང་བར་འགྱུར། ||| (2) one will excel [in the world];
འགྲོ་བ་མང་པོ་ལ་སྐྱིད་པའི་སྒྲ་གྲགས་པར་འགྱུར། ||| (3) to the multitude of sentient beings, one will become the resounding of joy;
སྤྱོད་པ་མང་པོར་འགྱུར། ||| (4) one will have abundant possessions;
མཐོ་རིས་སུ་སྐྱེ་བར་འགྱུར། ||| and (5) one will be reborn in heaven and
མྱུར་དུ་མྱ་ངན་ལས་འདས་པར་འགྱུར་རོ། ། ||| (6) quickly attain nirvāṇa.
ལྷམ་གྱི་སྦྱིན་པ་བྱས་པས་ལེགས་པ་བཅུ་ཐོབ་པར་འགྱུར་ཏེ། ||| “Through making the offering of shoes, one gains ten advantages.
བཅུ་གང་ཞེ་ན། ||| What are the ten?
བཞོན་པ་ཀུན་གྱིས་མི་བྲེལ་བར་འགྱུར། ||| (1) One will not be lacking in vehicles or mounts;
རྐང་པ་ལེགས་པར་འགྱུར། ||| (2) one will have excellent legs;
ལམ་དུ་ཞུགས་ན་མཐུ་དང་ལྡན་པར་འགྱུར། ||| (3) while on a journey, one will be endowed with strength throughout;
ལུས་མི་ཞན་པར་འགྱུར། ||| (4) one’s body will not be fatigued;
ལམ་དུ་ཞུགས་ན་རྡོ་ཤིང་གིས་མི་སྣད་པར་འགྱུར། ||| (5) while on a journey, one will not be wounded by either stone or wood;
རྫུ་འཕྲུལ་གྱི་རྐང་པ་ཐོབ་པར་འགྱུར། ||| (6) one will obtain supernatural legs;
གཡོག་བྲན་དང་ལྡན་པར་འགྱུར། ||| (7) one will be satisfied with one’s servants; and
མཐོ་རིས་སུ་སྐྱེ་ཞིང་མྱུར་དུ་མྱ་ངན་ལས་འདས་པར་འགྱུར་རོ། ། ||| (8) one will be reborn in heaven and (9) quickly attain nirvāṇa.
སྣོད་ཀྱི་སྦྱིན་གཏོང་བྱས་ན་ལེགས་པ་བཅུ་ཐོབ་པར་འགྱུར་ཏེ། ||| “One gains ten advantages by making the generous offering of a bowl.
བཅུ་གང་ཞེ་ན། ||| What are the ten? [892]
སྣོད་སྤྱད་དང་ལྡན་པར་འགྱུར། ||| (1) One will possess a bowl;
འཇིག་རྟེན་གྱི་ཡོན་ཏན་དུ་འགྱུར། ||| (2) one will come to embody good worldly qualities;
སྐོམ་དད་ཆུང་བར་འགྱུར། ||| (3) one will have little thirst, and
སྐོམ་ན་ཡང་བཏུང་བ་དང་ལྡན་པར་འགྱུར། ||| (4) when one is thirsty, one will be endowed with drink;
སེམས་མཉེན་པར་འགྱུར། ||| (5) one’s mind will be supple;
རིང་དུ་འཁྱམས་པར་མི་སྐྱེ་བར་འགྱུར། ||| (6) one will not be reborn as a ghost;
ལྷ་དང་མི་ཀུན་དགའ་བར་འགྱུར། ||| (7) one will be ever dear to devas and humans;
སྤྱོད་པ་མང་པོར་འགྱུར། ||| (8) one will have abundant possessions;
མཐོ་རིས་སུ་སྐྱེ་བར་འགྱུར། ||| and (9) one will be reborn in heaven and
མྱུར་དུ་མྱ་ངན་ལས་འདས་པར་འགྱུར་རོ། ། ||| (10) quickly attain nirvāṇa.
ཟས་ཀྱི་སྦྱིན་པ་གཏོང་བ་བྱས་ན་ལེགས་པ་བཅུ་ཐོབ་པར་འགྱུར་ཏེ། ||| “One gains ten advantages by making the generous offering of food.
བཅུ་གང་ཞེ་ན། ||| What are the ten?
ཚེ་རིང་བར་འགྱུར། ||| (1) One’s life will be long;
དབང་དང་ལྡན་པར་འགྱུར། ||| (2) one will possess power;
སྟོབས་དང་ལྡན་པར་འགྱུར། ||| (3) one will possess physical strength;
དྲན་པ་དང་ལྡན་པར་འགྱུར། ||| (4) one will possess good memory;
སྨྲ་བ་དང་ལྡན་པར་འགྱུར། ||| (5) one will become eloquent;
འཁོར་འདུ་ཞིང་མགུ་བར་བྱེད་པར་འགྱུར། ||| (6) having gathered followers, one will delight them;
ལྷ་དང་མི་ཀུན་མགུ་བར་འགྱུར། ||| (7) one will make all devas and humans content;
ལོངས་སྤྱོད་མང་པོར་འགྱུར། ||| (8) one will have abundant possessions;
བདེ་བར་འགྱུར། ||| (9) one will be happy;
མཐོ་རིས་སུ་སྐྱེ་བར་འགྱུར། ||| and (10) one will be reborn in heaven and
མྱུར་དུ་མྱ་ངན་ལས་འདས་པར་འགྱུར་རོ། ། ||| (11) quickly attain nirvāṇa.
གནས་ཀྱི་སྦྱིན་གཏོང་བྱས་ན་ལེགས་པ་བཅུ་ཐོབ་པར་འགྱུར་ཏེ། ||| “One gains ten advantages by making the generous offering of shelter.
བཅུ་གང་ཞེ་ན། ||| What are the ten?
རྒྱལ་ཕྲན་དུ་འགྱུར། ||| (1) One will become a vassal king;
འཁོར་གྱི་རྒྱལ་པོར་འགྱུར། ||| (2) one will become the ruler of a province;
གཞན་གྱིས་མི་ཚུགས་པའི་རྒྱལ་པོར་འགྱུར། ||| (3) one will become a ruler who is unchallenged by others;
གླིང་གཅིག་གི་རྒྱལ་པོར་འགྱུར། ||| (4) one will become the king of a continent;
གླིང་གཉིས་ཀྱི་རྒྱལ་པོར་འགྱུར། ||| (5) one will become the king of two continents;
གླིང་གསུམ་གྱི་རྒྱལ་པོར་འགྱུར། ||| (6) one will become the king of three continents;
གླིང་བཞིའི་རྒྱལ་པོར་འགྱུར། ||| (7) one will become the king of four continents;
སྤྱོད་པ་མང་པོར་འགྱུར། ||| (8) one will have abundant possessions;
མཐོ་རིས་སུ་སྐྱེ་བར་འགྱུར། ||| and (9) one will be reborn in heaven and
མྱུར་དུ་མྱ་ངན་ལས་འདས་པར་འགྱུར་རོ། ། ||| (10) quickly attain nirvāṇa.
ཐར་པར་ཞུགས་ན་ལེགས་པ་བཅུ་ཐོབ་པར་འགྱུར་ཏེ། ||| “One gains ten advantages from entering the path of liberation.
བཅུ་གང་ཞེ་ན། ||| What are the ten?
བུ་དང་ཆུང་མ་དང་། གཉེན་དང་འདུ་འཛི་ལ་མ་ཆགས་པ་དང་། སེར་སྣ་མེད་པ་ཡིན། ||| (1) One will be free from attachment to children, wives, relatives, and the diversions of the world; (2) one will be free from jealousy;
འདོད་པ་ལེན་པ་མེད་པ་ཡིན། ||| (3) one will be free from grasping at one’s desires;
ཤིང་ཁྲོད་ན་གནས་པ་ལ་མི་དགའ་བ་ཡིན། ||| (4) one will not be unhappy dwelling in the forest;
རིན་པོ་ཆེ་གསུམ་ལ་རི་མོར་བྱེད་པ་ཡིན། ||| (5) one will venerate the Three Jewels;
མི་ཤེས་པའི་གནས་དང་བྲལ་བ་ཡིན། ||| (6) one will be free from the state of ignorance;
ངན་པར་འགྲོ་བའི་ཆོས་དང་བྲལ་བ་ཡིན། ||| (7) one will be free from the factors that lead one to an unfavorable rebirth destiny;
དགེ་བའི་ཆོས་ཀུན་ཚོལ་བ་ཡིན། ||| (8) one will strive for virtuous qualities;
ལྷ་དང་མི་ལ་དབེན་པ་ཡིན། ||| (9) one will be disengaged among devas and men; [893]
རྟག་ཏུ་ཡང་དག་པར་གཤེགས་པའི་འཕགས་པ་བཞིན་དུ་ཐར་པར་ཞུགས་ཤིང་ཆོས་བྱེད་པ་ཡིན། ||| (10) one will always enter the path of liberation and practice the Dharma like a noble disciple of the Tathāgata;
མྱུར་དུ་མི་བདེ་བ་ལས་ཐར་ཏེ་མྱ་ངན་ལས་འདས་པར་འགྱུར་རོ། ། ||| and (11) after being swiftly liberated from suffering, one will attain nirvāṇa.
སྐོམ་གྱི་སྦྱིན་པ་བྱས་ན་ལེགས་པ་བཅུ་ཐོབ་སྟེ། ||| “One gains ten advantages through offering drink.
བཅུ་གང་ཞེ་ན། ||| What are the ten?
དབང་པོ་ཐམས་ཅད་ཚང་བར་འགྱུར། ||| (1) One’s sense faculties will be unimpaired;
དཔྲལ་བའི་དབྱེས་ལེགས་པར་འགྱུར། ||| (2) one’s forehead will have the perfect size;
སྨྲས་པ་ཀུན་མགུ་བར་འགྱུར་རོ། ། ||| (3) one’s words will delight all;
སེམས་མཉམ་པར་འགྱུར། ||| (4) one’s mind will be supple;
སྐོམ་དད་ཆུང་བར་འགྱུར། ||| (5) one will have little thirst, and
སྐོམ་ན་ཡང་བཏུང་བ་དང་ལྡན་པར་འགྱུར། ||| (6) when one is thirsty, one will be endowed with drink;
རིང་དུ་འཁྱམས་པར་མི་སྐྱེ། ||| (7) one will not be reborn as a ghost;
ལོངས་སྤྱོད་མང་བར་འགྱུར། ||| (8) one will have abundant possessions;
མཐོ་རིས་སུ་སྐྱེ་བར་འགྱུར། ||| and (9) one will be reborn in heaven and
མྱུར་དུ་མྱ་ངན་ལས་འདས་པར་འགྱུར་རོ། ། ||| (10) quickly attain nirvāṇa.
བཞོན་པ་སྦྱིན་གཏོང་བྱས་ན་ལེགས་པ་བཅུ་ཐོབ་པར་འགྱུར་ཏེ། ||| “One gains ten advantages by making the generous offering of a vehicle.
བཅུ་གང་ཞེ་ན། ||| What are the ten?
རྐང་པ་འཇམ་པ་ཡིན། ||| (1) One’s legs will be supple;
རྐང་པའི་དབྱིབས་ལེགས་པར་འགྱུར། ||| (2) one’s legs will be perfectly shaped;
རྐང་གིས་འགྲོ་ན་ལུས་ལ་གནོད་པར་མི་འགྱུར། ||| (3) when walking by foot, one’s body will not be hurt;
མི་མཛའ་བ་མེད་པར་འགྱུར། ||| (4) one will be without enemies;
རྫུ་འཕྲུལ་གྱི་རྐང་པ་དང་ལྡན་པར་འགྱུར། ||| (5) one will be endowed with the bases of supernatural powers;
བཞོན་པས་མི་བྲེལ་བར་འགྱུར། ||| (6) one will never lack a vehicle or mount;
སྤྱོད་པ་མང་བར་འགྱུར། ||| (7) one will have abundant possessions;
བདེ་བར་འགྱུར། ||| (8) one will have happiness;
མཐོ་རིས་སུ་སྐྱེ་བར་འགྱུར། ||| and (9) one will be reborn in heaven and
མྱུར་དུ་མྱ་ངན་ལས་འདས་པར་འགྱུར་རོ། ། ||| (10) quickly attain nirvāṇa.
ཁྲོད་དབེན་པར་གནས་པ་ལ་ལེགས་པ་བཅུ་ཐོབ་པར་འགྱུར་ཏེ། ||| “One gains ten advantages by dwelling in seclusion.
བཅུ་གང་ཞེ་ན། ||| What are the ten?
མང་པོ་འདུས་པ་རྣམས་སྤངས་པ། ཤིན་ཏུ་དབེན་པར་སྤྱོད་པ། བསམ་གཏན་ལ་དམིགས་པའི་སེམས་སུ་འགྱུར་བ། ཆུང་ངུ་བྱེད་པ། སངས་རྒྱས་ལ་བསྙེན་པ། ལུས་དགེ་ཞིང་བདེ་བར་སྤྱོད་པ། བར་མ་དོར་མི་འཁྱམ་པ། ཆོས་ཇི་ལྟ་བུར་ཐོས་པའི་དོན་རྒྱས་པར་ཤེས་པ། མི་གཡོ་འཛིན་རབ་ཏུ་ཐོབ་པ། ཤེས་རབ་ཤིན་ཏུ་ཐོབ་པའོ། ། ||| (1) One will have abandoned large crowds; (2) one will enjoy complete solitude; (3) one’s mind will become focused on meditative absorption; (4) one will engage in few activities; (5) one will venerate the Buddha; (6) one’s body will be well and at ease; (7) one will not become lost in the intermediate state between death and rebirth; (8) one will understand in detail the meaning of the Dharma, exactly as one has heard it; (9) one will fully attain the four states of imperturbability; and (10) one will fully attain knowledge.
སློང་བ་ལེགས་པ་བཅུ་ཐོབ་པར་འགྱུར་ཏེ། ||| “One gains ten advantages through begging.
བཅུ་གང་ཞེ་ན། ||| What are the ten?
འགྲོ་བ་ལ་གོམས་པར་འགྱུར། ||| (1) One will become accustomed to walking;
གནས་ཀུན་རིང་བར་འགྱུར། ||| (2) one will be far from leading a sedentary life;
ང་རྒྱལ་སྤངས་པར་འགྱུར། ||| (3) one will have abandoned pride;
བདག་རང་ཁེ་དང་ལྡན་པར་འགྱུར། ||| (4) one will achieve one’s own benefit, and
གཞན་བསོད་ནམས་ལ་བཀོད་པར་འགྱུར། ||| (5) one will have established others in merit; [894]
བསྟན་པའི་ཆོས་རྒྱས་པར་འགྱུར། ||| (6) one will spread the Dharma teachings, and
ཕྱིས་བྱུང་བ་རྣམས་ལ་སྣང་བར་བྱེད་པར་འགྱུར། ||| (7) thus illuminate those who will be born in the future;
ཐར་པར་ཞུགས་པའི་ཚུལ་ལས་མི་འགལ་བར་བྱེད་པར་འགྱུར། ||| (8) one will not transgress the monastic discipline;
སྣང་བའི་སེམས་སུ་འགྱུར། ||| (9) one’s mind will become clear; and
དགེ་བའི་ཁྲིམས་ཚང་བའི་སེམས་སློངས་མོ་ལ་ཞུགས་པས་ཕྱོགས་གང་དུའང་མུན་པར་མི་འགྱུར་བ་ཡིན་ནོ། ། ||| (10) because one has entered the practice of begging with a mind that is completely occupied by virtuous discipline, there will be no darkness in any direction.
ཐུབ་ཅིང་མི་འཇིགས་པས་ན་ལེགས་པ་བཅུ་ཐོབ་པར་འགྱུར་ཏེ། ||| “One gains ten advantages from being self-controlled and confident.
བཅུ་གང་ཞེ་ན། ||| What are the ten?
མི་འཇིགས་བཞིན་དུ་གྲོང་དུ་འཇུག་པ། མི་འཇིགས་བཞིན་དུ་གྲོང་ནས་འབྱུང་བ། མི་འཇིགས་བཞིན་དུ་རིགས་པ་འཇུག་པ། མི་འཇིགས་བཞིན་དུ་འཁོར་ལ་ཆོས་འཆད་པ། མི་འཇིགས་བཞིན་དུ་དགེ་འདུན་གྱི་ནང་དུ་འཇུག་པ། མི་འཇིགས་བཞིན་དུ་མཁན་པོ་དང་སློབ་དཔོན་གྱི་ནང་དུ་འཇུག་པ། བྱམས་པའི་སྟོབས་རྣམས་ལ་སྦྱོང་བ། མི་འཇིགས་བཞིན་དུ་ཆོས་གོས་དང་། ཟས་དང་། མལ་སྟན་དང་། སྨན་དང་། གཡོག་ལ་སོགས་པ་རྣམས་སྤྱོད་པ། མི་འཇིགས་པར་ཁ་ཏོན་དང་། ཀློག་པ་དུས་ཟད་པའི་ཚེ་ཡང་མི་འཇིགས་པ་ཡིན་ནོ། ། ||| (1) with confidence one enters a city; (2) with confidence one emerges from the city; (3) with confidence one enters a family home; (4) with confidence one explains the Dharma in an assembly; (5) with confidence one approaches the saṅgha; (6) with confidence one approaches one’s preceptor and one’s instructor; (7) one trains oneself in the power of loving-kindness; (8) one faultlessly uses one’s robes, alms food, mat, medicine, and other utensils; (9) one faultlessly performs one’s daily recitations with a loud voice; and (10) even when one’s time to die has come, one is confident.”
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་གསུངས་པ་དང་། ||| This is what the Bhagavān said.
ཏོའུ་ཏེ་ཡའི་བུ་ཤུ་ཀོ་མ་ན་བ་སྟན་ལས་ལངས་ཏེ་ཕྱོགས་གཅིག་ཏུ་འདུག་སྟེ། ། ||| The young brahmin Śuka, son of Taudeya, having arisen from his seat and remaining to one side,
པུས་མོ་གཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ཏེ། ||| knelt on his right knee and
བཅོམ་ལྡན་འདས་ལོགས་སུ་ཐལ་མོ་སྦྱར་ཏེ་ཕྱག་འཚལ་ནས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| faced the Bhagavān, with palms together at his chest, paying homage, and prayed:
བཅོམ་ལྡན་འདས་དཀོན་མཆོག་གསུམ་ལ་ཕྱག་འཚལ་ཞིང་སྐྱབས་སུ་མཆིའོ། ། ||| “Bhagavān, I prostrate myself to the three rare and precious ones and take refuge.
དེང་ཕན་ཅད་བདག་གི་ནམ་དུ་ཡང་དགེ་བའི་བཤེས་གཉེན་མཛད་པར་དགོངས་སུ་གསོལ་ཞེས་གསོལ་ཏོ། ། ||| I beg of you—be my virtuous spiritual teacher now and forever!”
ལས་ཀྱི་རྣམ་པར་འགྱུར་བ་བམ་པོ་གཅིག་པ་རྫོགས་སོ།། །། ||| Exposition of Karma in one fascicle is completed.
