༄༅། །རྒྱ་གར་སྐད་དུ། མཱ་ཡཱ་ཛཱ་ལཾ་ནཱ་མ་མ་ཧཱ་སཱུ་ཏྲཾ། བོད་སྐད་དུ།
མདོ་ཆེན་པོ་སྒྱུ་མའི་དྲ་བ་ཞེས་བྱ་བ། དཀོན་མཆོག་གསུམ་ལ་ཕྱག་འཚལ་ལོ། ། ||| The Mahāsūtra “Illusion’s Net” Homage to the Three Jewels.
དགེ་སློང་དག་འདི་ལ་འཕགས་པ་ཉན་ཐོས་ལྷག་པའི་ཤེས་རབ་ལ་སྦྱོར་བར་རྗེས་སུ་ཞུགས་པ་ལ་གནས་པ་ནི། བདག་སྔོན་རྣ་བས་རྣམ་པར་ཤེས་པར་བྱ་བའི་སྒྲ་ཡིད་བདེ་བའི་གནས་ལྟ་བུ་དག་ལ་ནི་རྗེས་སུ་ཆགས་ཤིང་གནས་པར་འགྱུར་ལ། ||| Monks, noble hearers who remain engaged in practicing superior wisdom consider the following to conduct a thorough analysis: ‘Formerly, I became and remained attached to pleasant sounds perceived by the ears.
རྣ་བས་རྣམ་པར་ཤེས་པར་བྱ་བའི་སྒྲ་ཡིད་མི་བདེ་བའི་གནས་ལྟ་བུ་དག་ལ་ནི་ཁོང་ཁྲོ་བ་དང་ལྡན་ཞིང་གནས་པར་གྱུར། ||| I became and remained averse to unpleasant sounds perceived by the ears.
རྣ་བས་རྣམ་པར་ཤེས་པར་བྱ་བའི་སྒྲ་བཏང་སྙོམས་ཀྱི་གནས་ལྟ་བུ་དག་ལ་ནི་སོ་སོར་བརྟགས་པ་མ་ཡིན། སོ་སོར་བརྟགས་པ་མ་ཡིན་པའི་བཏང་སྙོམས་སུ་གནས་པར་གྱུར་ཏེ། ||| I became and remained thoughtlessly indifferent to neutral sounds perceived by the ears.
དེ་ལྟར་བདག་ཡུན་རིང་པོ་ནས་འདི་ལ་རྗེས་སུ་སློབ་ཅིང་རྗེས་སུ་བྱེད་པ་ན་རྒ་བ་དང་། ན་བ་དང་། འཆི་བ་ཉམས་སུ་མྱོང་ཞིང་། སྔོན་གྱི་མཐའ་མི་མངོན་པར་གྱུར་པས། ||| I have trained myself and behaved in this way for a long time, and so I have experienced old age, sickness, and death.
བདག་གིས་ད་ནི་རྣ་བས་རྣམ་པར་ཤེས་པར་བྱ་བའི་སྒྲ་དག་ལ་སྔོན་ཇི་ལྟ་བ་དེ་ལྟར་བསླབ་པར་མི་བྱ་ཞིང་བདག་གིས་རྣ་བས་རྣམ་པར་ཤེས་པར་བྱ་བ་འདས་པ་དང་། མ་འོངས་པ་དང་། ད་ལྟར་བྱུང་བའི་སྒྲ་དག་ལ་ལོག་པར་མོས་པའམ། འདུ་ཤེས་ཕྱིན་ཅི་ལོག་གམ། སེམས་ཕྱིན་ཅི་ལོག་གམ། ||| The past is gone, so today I will no longer train myself as I did before regarding sounds perceived by the ears.
ལྟ་བ་ཕྱིན་ཅི་ལོག་ཏུ་གྱུར་པ་འདི་ལྟ་སྟེ། བརྣབ་སེམས་ཀྱི་ཚོགས་ཀྱི་མདུད་པ་དང་། གནོད་སེམས་ཀྱི་ཚོགས་ཀྱི་མདུད་པ་དང་། ཚུལ་ཁྲིམས་དང་བརྟུལ་ཞུགས་མཆོག་ཏུ་འཛིན་པའི་ཚོགས་ཀྱི་མདུད་པ་དང་། འདི་བདེན་ནོ་སྙམ་དུ་མངོན་པར་ཞེན་ཅིང་མཆོག་ཏུ་འཛིན་པའི་ཚོགས་ཀྱི་མདུད་པ་གང་དག་ཡིན་པ་དེ་དག་སྤང་བའི་ཕྱིར་བསླབ་པར་བྱ་ཞིང་། དེ་དག་སྤངས་པར་གྱུར་ཅིག་ཅེས་དེ་ལྟར་སོ་སོར་རྟོག་པར་བྱེད་པའི་ཕྱིར་རོ། ། ||| I must train myself to abandon mistaken beliefs, wrong ideas, incorrect thoughts, and incorrect views regarding past, future, and present sounds I perceive with the ears that are the psychophysical bonds of covetousness, malice, a sense of moral and ascetic supremacy, and thinking, “This is the truth,” and clinging to it as real—and then I must abandon them.’
དགེ་སློང་དག་འོན་ཀྱང་འདི་ན་ཁ་ཅིག་ལ་ནི་རྣ་བས་རྣམ་པར་ཤེས་པར་བྱ་བའི་སྒྲ་དེ་དག་ཉིད་ཡིད་དུ་འོང་བར་འགྱུར་ལ། གཞན་དག་ལ་ནི་དེ་དག་ཉིད་ཡིད་དུ་མི་འོང་བར་འགྱུར་བ་ཡང་ཡོད་ལ། ||| “Moreover, monks, the very same sounds perceived by the ears may be pleasant to some but unpleasant to others.
དེ་དག་ལ་ཡང་དུས་ལ་ལར་ནི་ཡིད་བདེ་བའི་གནས་ལྟ་བུ་དག་ཏུ་འགྱུར་ཞིང་། དུས་ལ་ལར་ནི་ཡིད་མི་བདེ་བའི་གནས་ལྟ་བུ་དག་ཏུ་འགྱུར། དུས་ལ་ལར་ནི་བཏང་སྙོམས་ཀྱི་གནས་ལྟ་བུ་དག་ཏུ་འགྱུར་ཏེ། ||| Sometimes they will be pleasant to them, sometimes they will be unpleasant, and sometimes they will be neutral.
དགེ་སློང་དག་དེ་ལྟར་ན་འདི་ལ་སེམས་ཅན་རྣམས་ཡུན་རིང་པོ་ནས་སེམས་ཀྱིས་བསྒྲིབས་ཤིང་། སེམས་ཀྱིས་བྲིད། སེམས་ཀྱིས་བསླུས་ནས་ཉེས་དམིགས་སུ་མི་མཐོང་ཞིང་ངེས་པར་འབྱུང་བ་རབ་ཏུ་མི་ཤེས་ཏེ། ||| Monks, beings have been obscured by their minds in this way for a long time, and since they have been deceived and duped by their minds, they do not recognize the error.
བདུད་སྡིག་ཅན་ཇི་ལྟར་འདོད་པ་བཞིན་བྱེད་དུ་འཇུག་གོ། ། ||| They have no conception of renunciation, and evil Māra forces them to do whatever he desires.
དགེ་སློང་དག་དགེ་སྦྱོང་ངམ། བྲམ་ཟེ་གང་དག་ཁ་ཅིག་རྣ་བས་རྣམ་པར་ཤེས་པར་བྱ་བའི་སྒྲ་འདི་དག་ཉིད་བདེན་པ་དང་གནས་པའི་སྒོ་ནས་མ་མཐོང་ཞིང་། ཇི་ལྟར་རང་རང་ལོག་པར་མོས་པ་དག་ལ་ནན་གྱིས་བཟུང་སྟེ། ||| “Monks, some śramaṇas and brāhmaṇas do not see those sounds that are perceived by the ears as they truly and really are, so they stubbornly hold on to their own mistaken beliefs.
མངོན་པར་ཞེན་པར་བྱས་ནས་འདི་ཉིད་བདེན་གྱི་གཞན་ནི་བརྫུན་པའོ་ཞེས་རྗེས་སུ་ཐ་སྙད་འདོགས་པར་བྱེད་པ་དེ་དག་ནི་རྣ་བས་རྣམ་པར་ཤེས་པར་བྱ་བའི་སྒྲ་ཡིད་བདེ་བའི་གནས་ལྟ་བུ་དག་ལ་རྗེས་སུ་ཆགས་ཤིང་གནས་ཏེ། ||| They cling to them as real, thinking, ‘This is true, and anything else is false,’ and they conduct themselves accordingly. They become and remain attached to pleasant sounds perceived by the ears.
དགེ་སྦྱོང་དང་བྲམ་ཟེ་བརྣབ་སེམས་ཀྱི་ཚོགས་ཀྱི་མདུད་པས་ཀུན་ནས་སུན་ཕྱུང་བ། ||| These śramaṇas and brāhmaṇas are completely corrupted by the psychophysical bond of covetousness.
རྗེས་སུ་ཆགས་པའི་ཀུན་དུ་སྦྱོར་བ་དང་ལྡན་པ་དེ་དག་ཀྱང་བདུད་སྡིག་ཅན་ཇི་ལྟར་འདོད་པ་བཞིན་བྱེད་དུ་འཇུག་པ་ཡིན་ནོ། ། ||| They are entangled in attachment, and so they too are forced to do whatever evil Māra desires.
དགེ་སློང་དག་དགེ་སྦྱོང་ངམ་བྲམ་ཟེ་གང་དག་ཁ་ཅིག་རྣ་བས་རྣམ་པར་ཤེས་པར་བྱ་བའི་སྒྲ་འདི་དག་ཉིད་བདེན་པ་དང་། གནས་པའི་སྒོ་ནས་མ་མཐོང་ཞིང་། ཇི་ལྟར་རང་རང་ལོག་པར་མོས་པ་དག་ལ་ནན་གྱིས་བཟུང་སྟེ། ||| “Monks, some śramaṇas and brāhmaṇas do not see those sounds that are perceived by the ears as they truly and really are, so they stubbornly hold on to their own mistaken beliefs.
མངོན་པར་ཞེན་པར་བྱས་ནས་འདི་ཉིད་བདེན་གྱི་གཞན་ནི་བརྫུན་པའོ་ཞེས་རྗེས་སུ་ཐ་སྙད་འདོགས་པར་བྱེད་པ་དེ་དག་ནི་རྣ་བས་རྣམ་པར་ཤེས་པར་བྱ་བའི་སྒྲ་ཡིད་མི་བདེ་བའི་གནས་ལྟ་བུ་དག་ལ་ཁོང་ཁྲོ་བ་དང་ལྡན་པར་གནས་ཏེ། ||| They cling to them as real, thinking, ‘This is true, and anything else is false,’ and they conduct themselves accordingly. They remain averse to unpleasant sounds perceived by the ears.
དགེ་སྦྱོང་དང་བྲམ་ཟེ་གནོད་སེམས་ཀྱི་ཚོགས་ཀྱི་མདུད་པས་ཀུན་ནས་སུན་ཕྱུང་བ་ཁོང་ཁྲོ་བའི་ཀུན་དུ་སྦྱོར་བ་དང་ལྡན་པ་དེ་དག་ཀྱང་བདུད་སྡིག་ཅན་ཇི་ལྟར་འདོད་པ་བཞིན་བྱེད་དུ་འཇུག་པ་ཡིན་ནོ། ། ||| These śramaṇas and brāhmaṇas are completely corrupted by the psychophysical bond of malice. They are entangled in aversion, and so they too are forced to do whatever evil Māra desires.
དགེ་སློང་དག་དགེ་སྦྱོང་ངམ་བྲམ་ཟེ་གང་དག་ཁ་ཅིག་རྣ་བས་རྣམ་པར་ཤེས་པར་བྱ་བའི་སྒྲ་འདི་དག་ཉིད་བདེན་པ་དང་། གནས་པའི་སྒོ་ནས་མ་མཐོང་ཞིང་། ||| “Monks, some śramaṇas and brāhmaṇas do not see those sounds that are perceived by the ears as they truly and really are, so they stubbornly hold on to their own mistaken beliefs.
ཇི་ལྟར་རང་རང་ལོག་པར་མོས་པ་དག་ལ་ནན་གྱིས་བཟུང་སྟེ། མངོན་པར་ཞེན་པར་བྱས་ནས་འདི་ཉིད་བདེན་གྱི་གཞན་ནི་བརྫུན་པའོ་ཞེས་རྗེས་སུ་ཐ་སྙད་འདོགས་པར་བྱེད་པ་དེ་དག་ནི་རྣ་བས་རྣམ་པར་ཤེས་པར་བྱ་བའི་སྒྲ་བཏང་སྙོམས་ཀྱི་གནས་ལྟ་བུ་དག་ལས་སོ་སོར་བརྟགས་པ་མ་ཡིན། ||| They cling to them as real, thinking, ‘This is true, and anything else is false,’ and they conduct themselves accordingly.
