འཕགས་པ་དམ་པའི་ཆོས་དྲན་པ་ཉེ་བར་གཞག་པ། ||| The Noble Application of Mindfulness of the Sacred Dharma
ཕ་རོལ་གྱིས་ཡོངས་སུ་བཟུང་བ་ལ་བདག་གིར་བྱ་བའི་བསམ་པས་རྐུ་བར་བྱེད་པ་འདི་ནི་མ་བྱིན་པར་ལེན་པ་རྫོགས་པ་ཡིན་ནོ། ། ||| A complete act of stealing is to rob something that belongs to another with the intention of making it one’s own.
འབྲས་བུ་ཆུང་བ་ཇི་ལྟ་བུ་ཡིན་ཞེ་ན། ||| “Which acts of this kind will have a minor effect?
འདི་ལྟ་སྟེ། རྒྱལ་པོའི་ཆད་པས་ཉེན་པ་དང་། བླ་མའི་དོན་དང་། ཕ་མ་ནད་པ་དང་། རང་སངས་རྒྱས་དང་། དགྲ་བཅོམ་པ་དང་། ཕྱིར་མི་འོང་བ་དང་། རྒྱུན་དུ་ཞུགས་པ་ལ་སོགས་པ་དང་། ནད་པ་དང་། ལྟོགས་པ་དེ་དག་གི་དོན་དུ་མ་བྱིན་པར་བླངས་པ་འདི་ནི་འབྲས་བུ་ཆུང་བ་ཡིན་ནོ། ། ||| If one takes what was not given due to compliance with a royal decree; or if one takes what was not given for the sake of one’s guru, one’s sick parents, a solitary buddha, a worthy one, a non-returner, a stream enterer, or the like;
མ་བྱིན་པར་ལེན་པའི་སྡོམ་པ་མ་བླངས་པས་མ་བྱིན་པར་ལེན་པ་ ||| or if one does so for the sake of the sick or the hungry.
འདི་ནི་རྣམ་པར་སྨིན་པ་ཆུང་བ་ཡིན་ནོ། ། ||| In such cases there will be a minor ripening of the act.
གཞན་ཡང་འབྲས་བུ་ཆུང་བར་འགྱུར་བ་ནི་མ་བྱིན་པར་ལེན་པ་བྱས་ནས། ||| Such cases of taking what was not given, when performed by someone who has not taken vows to take what was not given, also involve only a minor ripening.
སེམས་ཀྱིས་འཆགས་པར་བྱེད། འགྱོད་ལ་ཕྱིར་ཞིང་མི་བྱེད། ཕ་རོལ་ཡང་མ་བྱིན་པར་ལེན་པ་ལས་ཕྱིར་ཟློག་པར་བྱེད། སྡོམ་པའི་ལུང་ཡང་འབོགས་པར་བྱེད། ལམ་ལ་ཡང་འཇོག་པར་བྱེད། མ་བྱིན་པར་ལེན་པ་སྤོང་བ་དག་ལ་འཇོག་པར་བྱེད་ཅིང་། ||| Minor effects will also arise when one takes what was not given, but then mentally confesses, feels remorse, and abstains in the future, and when one prevents others from taking what was not given, confers vows upon them, establishes them upon the path, and establishes them in the practice of abstaining from taking what was not given.
ལས་ཀྱི་ཉེར་བསྡོགས་དང་། ལས་ཀྱི་མཇུག་མི་བྱེད་པའོ། ། ||| Similarly, only minor effects occur when the preparations, act, or conclusion is incomplete.
མ་བྱིན་པར་ལེན་པའི་ལས་ཀྱི་ཉེར་བསྡོགས་ཇི་ལྟ་བུ་ཡིན་ཞེ་ན། ||| “What are the preparations for stealing?
འདི་ལ་མ་བྱིན་པར་ལེན་པ་པོས་ཕ་རོལ་ལ་གཡོ་སྒྱུ་བྱེད་ཅིང་གསང་ཐབས་སུ་སྨྲ་བ་དང་། འཇལ་ལུགས་ལ་གཡོ་བྱེད་པ་དང་། མི་རིགས་པའི་ལས་ལྷག་པར་སྤྱོད་པ་རྣམ་པ་འདི་དག་ནི་ལས་ཀྱི་ཉེར་བསྡོགས་ཡིན་ནོ། ། ||| They involve deceiving the victim, giving secret instructions, engaging in fraud, or some other form of inappropriate activity.
ལས་ཇི་ལྟ་བུ་ཡིན་ཞེ་ན། ||| What is the act itself?
གང་གི་ཚེ་ཕ་རོལ་གྱིས་ཡོངས་སུ་བཟུང་བའི་རྫས་ཀྱི་རྣམ་པ་མ་བྱིན་པར་ལེན་པ་འདི་ནི་ལས་ཡིན་ནོ། ། ||| It is to take the possessions of another without them being given.
ལས་ཀྱི་མཇུག་ཇི་ལྟ་བུ་ཡིན་ཞེ་ན། ||| What is the act’s conclusion?
འདི་ལ་བྱས་ནས་རྗེས་སུ་ཡི་རང་བར་བྱེད་ཅིང་གོམས་པར་བྱེད་ལ་མང་དུ་བྱས་ཏེ། རྗེས་སུ་ཡི་རང་བ་ཀུན་ཏུ་འཆབ་པར་བྱེད། ཚུལ་ཁྲིམས་དང་ལྡན་པ་གཞན་མ་བྱིན་པར་ལེན་པ་ལ་རབ་ཏུ་འཇོག་པར་བྱེད་པ་འདི་ནི་ལས་ཀྱི་མཇུག་ཡིན་ནོ། ། ||| This consists in rejoicing in, becoming habituated to, and increasing the act; rejoicing in the act while keeping it hidden; and making other disciplined individuals engage in such an act.
རྣམ་པ་འདི་གསུམ་གྱིས་མ་བྱིན་པར་ལེན་པའི་ལས་ཀྱི་ཉེར་བསྡོགས་དང་། མཇུག་དང་བྲལ་བ་མ་བྱིན་པ་ལེན་པའི་ཆད་པའི་འབྲས་བུ་ཆུང་བར་འགྱུར་ཏེ། མྱོང་བར་འགྱུར་བར་ངེས་པ་མ་ཡིན་ནོ། ། ||| When a misdeed of stealing lacks any of these three aspects, which include preparations and conclusion, its effect will be minor and experienced in indeterminate ways.
གཞན་ཡང་འདོད་པས་ལོག་པར་གཡེམ་པ་ཇི་ལྟ་བུ་ཡིན་ཞེ་ན། ||| “What is sexual misconduct?
རྣལ་འབྱོར་སྤྱོད་པ་ཆོས་ལ་ཆོས་ཀྱི་རྗེས་སུ་ལྟ་བས་མཐོང་སྟེ། ||| This is understood by a spiritual practitioner who observes phenomena.
འདི་ལ་འདོད་པས་ལོག་པར་གཡེམ་པ་ཀུན་ཏུ་སྤྱོད་པ་ན་རང་གི་ཆུང་མའམ་གཞན་གྱི་ཆུང་མ་དག་གི་སྐྱེ་གནས་མ་ཡིན་པར་འཇུག་པར་བྱེད། གཞན་བྱེད་པ་ལ་ཡང་རྗེས་སུ་ཡི་རང་བར་བྱེད། མི་བྱེད་པ་ཡང་ཐབས་ཀྱིས་བྱེད་དུ་འཇུག་པ་འདི་ནི་འདོད་པས་ལོག་པར་གཡེམ་པ་ཞེས་བྱའོ། ། ||| Such a person will see that sexual misconduct occurs when one penetrates one’s own wife, or another man’s wife, through an opening other than the vagina, or when one rejoices in others performing such an act, or when one makes others engage in it even while refraining from doing so oneself.
འདོད་པས་ལོག་པར་གཡེམ་པའི་འབྲས་བུ་ཆུང་བར་འགྱུར་བ་ཇི་ལྟ་བུ་ཡིན་ཞེ་ན། ||| “In which cases will the effects of sexual misconduct be minor?
འདི་ལ་བྱས་ནས་འགྱོད་ཅིང་འཆགས་ཏེ། རྗེས་སུ་ཡི་རང་བར་མི་བྱེད། གཞན་འདོད་པས་ལོག་པར་གཡེམ་པ་ཡང་ཕྱིར་ཟློག་པར་བྱེད། ལམ་ལ་འཇོག་པར་བྱེད། ལས་ཀྱི་ཉེར་བསྡོགས་དང་། ལས་ཀྱི་མཇུག་དང་བྲལ་བའི་སེམས་ཡིན་ཞིང་ ||| When the act is regretted and confessed, when one does not rejoice in it, when one discourages others from engaging in sexual misconduct and establishes them on the path, and when the preparation or conclusion is incomplete.
ཚུལ་ཁྲིམས་དང་ལྡན་པ་ཡིན་ཏེ། འདི་ནི་འདོད་པས་ལོག་པར་གཡེམ་པའི་འབྲས་བུ་ཆུང་བར་འགྱུར་ཞིང་མྱོང་བར་འགྱུར་བར་མ་ངེས་པ་ཡིན་ནོ། ། ||| When such factors of intention and discipline are present the effects of an act of sexual misconduct will be minor and their experience indeterminate.
ལུས་ཀྱི་ཆད་པ་རྣམ་པ་གསུམ་པོ་དེ་དག་ནི་འབྲས་བུ་ཆུང་བ་དང་འབྲས་བུ་ཞན་པར་འགྱུར་རོ། ། ||| When the three misdeeds of the body are of this kind their effects are lesser and weak.
དེ་དག་ནི་ངའི་ཉན་ཐོས་སམ་ང་ལས་ཐོས་ནས་ལས་དང་འབྲས་བུ་རྣམ་པར་སྨིན་པ་ཤེས་ཤིང་ ||| “Only those who hear these points from my hearers or from myself will understand the whole matter of karmic actions and their ripening effects.
གཞན་གྱིས་ཁ་དྲང་དུ་མི་རུང་བ་གཞན་ལ་རག་མ་ལས་པ་མ་གཏོགས་པ། ||| Thus, they will not be swayed by the accounts of others, but become independent.
གཞན་མུ་སྟེགས་ཅན་སྤྱོད་པ་པ་ཀུན་ཏུ་རྒྱུ་བ་རྣམས་སམ། ལྷ་དང་བཅས་པའི་འཇིག་རྟེན་ནམ། བདུད་དང་བཅས་པའམ། ཚངས་པ་དང་བཅས་པའམ། དགེ་སྦྱོང་དང་བྲམ་ཟེར་བཅས་པའི་སྐྱེ་དགུའམ། ལྷ་དང་། མི་དང་། ལྷ་མ་ཡིན་དུ་བཅས་པས་རྟོགས་པའི་ཡུལ་མ་ཡིན་ནོ། ། ||| These points are not realized by wandering non-Buddhist practitioners. Neither are they realized by the world with its gods; nor by the māras; nor by Brahmā, mendicants, and brahmins; nor by gods, humans, and asuras.
གཞན་ཡང་ངག་གི་ཆད་པ་ལྕི་བ་ཇི་ལྟ་བུ་ཡིན་ཞེ་ན། ||| “What are the misdeeds of speech?
རྣལ་འབྱོར་སྤྱོད་པ་ཆོས་དང་ལས་དང་རྣམ་པར་སྨིན་པ་ཤེས་པ་ཡིན་ཏེ། ངག་གི་ཆད་པ་རྣམ་པ་བཞི་ལ་འདི་ལྟ་སྟེ། བརྫུན་དང་། ཕྲ་མ་དང་། ཚིག་རྩུབ་པོ་དང་། ཚིག་ཀྱལ་པ་དང་བཞིའོ། ། ||| Spiritual practitioners who understand phenomena, as well as karmic actions and their maturation, will know that there are four misdeeds of speech: lying, divisive talk, harsh words, and chatter.
དེ་ལ་བརྫུན་གང་ཞེ་ན། ||| “What is lying?
བདག་ཉིད་ལ་བདག་ཉིད་སླུ་ཞིང་གཞན་ཡང་སླུ་བ་ཡིན་ཏེ། ||| Lying is to deceive oneself and others.
